id,duplicate_group,split
SYN-01106,48,train
SYN-01107,49,train
SYN-01108,4339,train
SYN-01109,644,test
SYN-01110,3495,train
SYN-01111,50,validation
SYN-01112,3344,validation
SYN-01113,1439,train
SYN-01114,51,train
SYN-01115,2121,test
SYN-01116,52,train
SYN-01117,3580,train
SYN-01118,1264,train
SYN-01119,3386,train
SYN-01120,53,test
SYN-01121,719,train
SYN-01122,1144,train
SYN-01123,54,test
SYN-01124,3264,test
SYN-01125,3625,train
SYN-01126,49,train
SYN-01127,55,train
SYN-01128,56,validation
SYN-01129,57,train
SYN-01130,2032,train
SYN-01131,58,train
SYN-01132,4076,test
SYN-01133,59,train
SYN-01134,2032,train
SYN-01135,3797,train
SYN-01136,60,train
SYN-01137,61,train
SYN-01138,1801,train
SYN-01139,62,train
SYN-01140,63,validation
SYN-01141,64,train
SYN-01142,65,train
SYN-01143,66,train
SYN-01144,4270,train
SYN-01145,1264,train
SYN-01146,36,train
SYN-01147,3495,train
SYN-01148,2079,train
SYN-01149,3495,train
SYN-01150,4203,test
SYN-01151,67,train
SYN-01152,68,validation
SYN-01153,19,train
SYN-01154,69,train
SYN-01155,179,validation
SYN-01156,70,train
SYN-01157,71,train
SYN-01158,72,train
SYN-01159,3495,train
SYN-01160,73,train
SYN-01161,74,validation
SYN-01162,2482,test
SYN-01163,1264,train
SYN-01164,3264,test
SYN-01165,75,train
SYN-01166,76,train
SYN-01167,77,validation
SYN-01168,78,train
SYN-01169,79,train
SYN-01170,80,train
SYN-01171,81,train
SYN-01172,82,train
SYN-01173,1981,train
SYN-01174,83,test
SYN-01175,84,train
SYN-01176,2032,train
SYN-01177,2999,train
SYN-01178,85,train
SYN-01179,4043,train
SYN-01180,736,train
SYN-01181,86,train
SYN-01182,794,train
SYN-01183,87,validation
SYN-01184,88,test
SYN-01185,786,train
SYN-01186,3495,train
SYN-01187,813,test
SYN-01188,89,test
SYN-01189,90,train
SYN-01190,91,train
SYN-01191,92,train
SYN-01192,93,train
SYN-01193,2032,train
SYN-01194,3244,train
SYN-01195,1585,train
SYN-01196,94,test
SYN-01197,95,train
SYN-01198,96,train
SYN-01199,813,test
SYN-01200,49,train
SYN-01201,133,train
SYN-01202,3264,test
SYN-01203,2999,train
SYN-01204,2686,train
SYN-01205,97,validation
SYN-01206,98,train
SYN-01207,99,train
SYN-01208,100,train
SYN-01209,472,train
SYN-01210,3495,train
SYN-01211,101,train
SYN-01212,102,train
SYN-01213,1190,train
SYN-01214,3580,train
SYN-01215,3244,train
SYN-01216,103,train
SYN-01217,991,train
SYN-01218,3797,train
SYN-01219,4285,train
SYN-01220,185,test
SYN-01221,104,validation
SYN-01222,105,validation
SYN-01223,239,train
SYN-01224,106,validation
SYN-01225,107,train
SYN-01226,108,validation
SYN-01227,1803,train
SYN-01228,36,train
SYN-01229,991,train
SYN-01230,2482,test
SYN-01231,3945,train
SYN-01232,2783,train
SYN-01233,239,train
SYN-01234,1928,train
SYN-01235,109,validation
SYN-01236,3397,train
SYN-01237,3244,train
SYN-01238,3797,train
SYN-01239,110,train
SYN-01240,111,train
SYN-01241,49,train
SYN-01242,49,train
SYN-01243,112,test
SYN-01244,2452,train
SYN-01245,1061,test
SYN-01246,113,validation
SYN-01247,200,train
SYN-01248,114,test
SYN-01249,115,validation
SYN-01250,3189,validation
SYN-01251,2482,test
SYN-01252,3495,train
SYN-01253,116,validation
SYN-01254,117,train
SYN-01255,118,train
SYN-01256,4263,train
SYN-01257,119,train
SYN-01258,36,train
SYN-01259,120,train
SYN-01260,2032,train
SYN-01261,121,train
SYN-01262,122,validation
SYN-01263,123,train
SYN-01264,3797,train
SYN-01265,4134,validation
SYN-01266,124,train
SYN-01267,125,train
SYN-01268,2232,validation
SYN-01269,2482,test
SYN-01270,1831,test
SYN-01271,126,train
SYN-01272,127,validation
SYN-01273,128,train
SYN-01274,1263,train
SYN-01275,2032,train
SYN-01276,129,train
SYN-01277,130,train
SYN-01278,200,train
SYN-01279,131,train
SYN-01280,132,train
SYN-01281,989,train
SYN-01282,4326,train
SYN-01283,133,train
SYN-01284,134,train
SYN-01285,135,train
SYN-01286,136,train
SYN-01287,3021,train
SYN-01288,137,train
SYN-01289,138,train
SYN-01290,139,validation
SYN-01291,36,train
SYN-01292,140,test
SYN-01293,141,test
SYN-01294,1322,train
SYN-01295,142,train
SYN-01296,2527,train
SYN-01297,1437,train
SYN-01298,143,train
SYN-01299,144,train
SYN-01300,145,train
SYN-01301,146,validation
SYN-01302,239,train
SYN-01303,185,test
SYN-01304,2765,train
SYN-01305,147,train
SYN-01306,3189,validation
SYN-01307,148,train
SYN-01308,149,train
SYN-01309,3495,train
SYN-01310,36,train
SYN-01311,150,train
SYN-01312,19,train
SYN-01313,2668,train
SYN-01314,2032,train
SYN-01315,3580,train
SYN-01316,151,validation
SYN-01317,152,validation
SYN-01318,4144,train
SYN-01319,153,train
SYN-01320,472,train
SYN-01321,154,train
SYN-01322,155,validation
SYN-01323,156,validation
SYN-01324,157,test
SYN-01325,158,train
SYN-01326,159,train
SYN-01327,160,validation
SYN-01328,161,test
SYN-01329,239,train
SYN-01330,2832,train
SYN-01331,3580,train
SYN-01332,2109,train
SYN-01333,401,validation
SYN-01334,162,train
SYN-01335,298,validation
SYN-01336,3171,train
SYN-01337,163,train
SYN-01338,164,test
SYN-01339,3021,train
SYN-01340,3937,train
SYN-01341,634,train
SYN-01342,165,train
SYN-01343,166,test
SYN-01344,4043,train
SYN-01345,167,train
SYN-01346,2021,train
SYN-01347,646,train
SYN-01348,4191,train
SYN-01349,168,validation
SYN-01350,169,train
SYN-01351,2319,train
SYN-01352,170,test
SYN-01353,472,train
SYN-01354,171,train
SYN-01355,172,test
SYN-01356,173,train
SYN-01357,107,train
SYN-01358,174,train
SYN-01359,175,test
SYN-01360,1236,train
SYN-01361,4213,validation
SYN-01362,176,train
SYN-01363,177,train
SYN-01364,178,train
SYN-01365,4482,test
SYN-01366,1153,train
SYN-01367,179,validation
SYN-01368,4124,train
SYN-01369,180,train
SYN-01370,3087,train
SYN-01371,181,train
SYN-01372,182,train
SYN-01373,183,train
SYN-01374,184,test
SYN-01375,634,train
SYN-01376,343,train
SYN-01377,185,test
SYN-01378,1190,train
SYN-01379,3599,train
SYN-01380,102,train
SYN-01381,3701,train
SYN-01382,3189,validation
SYN-01383,176,train
SYN-01384,2032,train
SYN-01385,49,train
SYN-01386,186,train
SYN-01387,4117,test
SYN-01388,200,train
SYN-01389,187,train
SYN-01390,3021,train
SYN-01391,188,validation
SYN-01392,991,train
SYN-01393,189,train
SYN-01394,190,train
SYN-01395,191,train
SYN-01396,4051,train
SYN-01397,2999,train
SYN-01398,3797,train
SYN-01399,192,train
SYN-01400,193,train
SYN-01401,472,train
SYN-01402,1677,test
SYN-01403,36,train
SYN-01404,194,test
SYN-01405,195,train
SYN-01406,196,test
SYN-01407,843,train
SYN-01408,991,train
SYN-01409,197,train
SYN-01410,198,validation
SYN-01411,2482,test
SYN-01412,3580,train
SYN-01413,199,train
SYN-01414,200,train
SYN-01415,201,test
SYN-01416,202,train
SYN-01417,203,train
SYN-01418,204,train
SYN-01419,205,train
SYN-01420,206,train
SYN-01421,3381,train
SYN-01422,207,validation
SYN-01423,1330,train
SYN-01424,105,validation
SYN-01425,208,train
SYN-01426,991,train
SYN-01427,209,train
SYN-01428,2327,train
SYN-01429,2079,train
SYN-01430,210,train
SYN-01431,1902,train
SYN-01432,3189,validation
SYN-01433,211,train
SYN-01434,212,train
SYN-01435,213,validation
SYN-01436,214,train
SYN-01437,215,train
SYN-01438,216,train
SYN-01439,217,train
SYN-01440,1237,train
SYN-01441,2482,test
SYN-01442,36,train
SYN-01443,218,train
SYN-01444,219,train
SYN-01445,1404,validation
SYN-01446,185,test
SYN-01447,220,test
SYN-01448,200,train
SYN-01449,991,train
SYN-01450,221,test
SYN-01451,2452,train
SYN-01452,222,train
SYN-01453,2999,train
SYN-01454,223,validation
SYN-01455,224,test
SYN-01456,4355,validation
SYN-01457,225,train
SYN-01458,3344,validation
SYN-01459,226,train
SYN-01460,2301,train
SYN-01461,227,train
SYN-01462,4459,train
SYN-01463,228,train
SYN-01464,36,train
SYN-01465,3244,train
SYN-01466,229,test
SYN-01467,2032,train
SYN-01468,3580,train
SYN-01469,230,train
SYN-01470,231,train
SYN-01471,232,validation
SYN-01472,3560,train
SYN-01473,4043,train
SYN-01474,3244,train
SYN-01475,233,train
SYN-01476,234,train
SYN-01477,235,train
SYN-01478,3189,validation
SYN-01479,4499,train
SYN-01480,236,train
SYN-01481,4123,train
SYN-01482,237,test
SYN-01483,1330,train
SYN-01484,3580,train
SYN-01485,343,train
SYN-01486,238,validation
SYN-01487,239,train
SYN-01488,240,validation
SYN-01489,3344,validation
SYN-01490,786,train
SYN-01491,241,train
SYN-01492,217,train
SYN-01493,2135,train
SYN-01494,242,train
SYN-01495,243,train
SYN-01496,244,train
SYN-01497,3495,train
SYN-01498,36,train
SYN-01499,2032,train
SYN-01500,245,train
SYN-01501,4335,train
SYN-01502,246,train
SYN-01503,497,validation
SYN-01504,3249,train
SYN-01505,247,train
SYN-01506,4043,train
SYN-01507,3580,train
SYN-01508,1801,train
SYN-01509,3417,train
SYN-01510,2319,train
SYN-01511,794,train
SYN-01512,4134,validation
SYN-01513,248,train
SYN-01514,4523,validation
SYN-01515,1950,train
SYN-01516,49,train
SYN-01517,472,train
SYN-01518,249,train
SYN-01519,1736,test
SYN-01520,250,train
SYN-01521,102,train
SYN-01522,2482,test
SYN-01523,298,validation
SYN-01524,3344,validation
SYN-01525,49,train
SYN-01526,251,train
SYN-01527,2140,train
SYN-01528,472,train
SYN-01529,4043,train
SYN-01530,3189,validation
SYN-01531,252,train
SYN-01532,253,train
SYN-01533,254,train
SYN-01534,255,train
SYN-01535,2032,train
SYN-01536,4227,train
SYN-01537,256,train
SYN-01538,910,validation
SYN-01539,257,test
SYN-01540,887,train
SYN-01541,258,train
SYN-01542,259,train
SYN-01543,260,train
SYN-01544,261,train
SYN-01545,262,train
SYN-01546,263,train
SYN-01547,264,test
SYN-01548,1018,train
SYN-01549,36,train
SYN-01550,265,train
SYN-01551,562,validation
SYN-01552,266,train
SYN-01553,3854,train
SYN-01554,4051,train
SYN-01555,267,train
SYN-01556,3021,train
SYN-01557,733,train
SYN-01558,4015,train
SYN-01559,3580,train
SYN-01560,991,train
SYN-01561,2032,train
SYN-01562,440,train
SYN-01563,268,test
SYN-01564,269,test
SYN-01565,270,train
SYN-01566,271,test
SYN-01567,3471,validation
SYN-01568,293,train
SYN-01569,272,validation
SYN-01570,2586,train
SYN-01571,1664,validation
SYN-01572,1713,train
SYN-01573,273,train
SYN-01574,274,validation
SYN-01575,275,train
SYN-01576,276,train
SYN-01577,277,train
SYN-01578,3797,train
SYN-01579,278,train
SYN-01580,1330,train
SYN-01581,279,train
SYN-01582,280,train
SYN-01583,680,validation
SYN-01584,281,validation
SYN-01585,49,train
SYN-01586,282,train
SYN-01587,3189,validation
SYN-01588,794,train
SYN-01589,283,train
SYN-01590,284,validation
SYN-01591,285,train
SYN-01592,1718,train
SYN-01593,286,validation
SYN-01594,401,validation
SYN-01595,287,train
SYN-01596,288,train
SYN-01597,289,test
SYN-01598,290,train
SYN-01599,291,validation
SYN-01600,292,test
SYN-01601,2327,train
SYN-01602,293,train
SYN-01603,294,train
SYN-01604,4217,validation
SYN-01605,2471,validation
SYN-01606,2041,train
SYN-01607,1718,train
SYN-01608,295,train
SYN-01609,900,test
SYN-01610,1561,validation
SYN-01611,296,train
SYN-01612,297,train
SYN-01613,298,validation
SYN-01614,299,validation
SYN-01615,36,train
SYN-01616,298,validation
SYN-01617,1330,train
SYN-01618,300,train
SYN-01619,301,train
SYN-01620,1153,train
SYN-01621,3199,test
SYN-01622,302,train
SYN-01623,36,train
SYN-01624,200,train
SYN-01625,303,test
SYN-01626,4045,train
SYN-01627,304,train
SYN-01628,305,test
SYN-01629,3580,train
SYN-01630,4263,train
SYN-01631,472,train
SYN-01632,306,validation
SYN-01633,3810,train
SYN-01634,692,train
SYN-01635,307,test
SYN-01636,1585,train
SYN-01637,200,train
SYN-01638,308,train
SYN-01639,1061,test
SYN-01640,309,validation
SYN-01641,4008,train
SYN-01642,310,test
SYN-01643,311,train
SYN-01644,2327,train
SYN-01645,2204,train
SYN-01646,312,test
SYN-01647,991,train
SYN-01648,313,validation
SYN-01649,314,train
SYN-01650,315,test
SYN-01651,1190,train
SYN-01652,316,train
SYN-01653,317,train
SYN-01654,991,train
SYN-01655,318,train
SYN-01656,319,test
SYN-01657,320,train
SYN-01658,321,train
SYN-01659,322,train
SYN-01660,634,train
SYN-01661,2575,validation
SYN-01662,323,test
SYN-01663,3471,validation
SYN-01664,324,train
SYN-01665,325,train
SYN-01666,2684,train
SYN-01667,4186,train
SYN-01668,34,train
SYN-01669,2032,train
SYN-01670,472,train
SYN-01671,326,train
SYN-01672,3580,train
SYN-01673,1190,train
SYN-01674,327,train
SYN-01675,328,train
SYN-01676,1664,validation
SYN-01677,3797,train
SYN-01678,2811,train
SYN-01679,2482,test
SYN-01680,3444,validation
SYN-01681,3797,train
SYN-01682,2327,train
SYN-01683,329,train
SYN-01684,330,validation
SYN-01685,331,train
SYN-01686,476,train
SYN-01687,332,validation
SYN-01688,4500,test
SYN-01689,333,train
SYN-01690,334,train
SYN-01691,2135,train
SYN-01692,335,test
SYN-01693,2135,train
SYN-01694,336,train
SYN-01695,185,test
SYN-01696,337,test
SYN-01697,1439,train
SYN-01698,338,validation
SYN-01699,339,train
SYN-01700,200,train
SYN-01701,340,validation
SYN-01702,3925,train
SYN-01703,1718,train
SYN-01704,3797,train
SYN-01705,1061,test
SYN-01706,341,train
SYN-01707,342,train
SYN-01708,343,train
SYN-01709,4064,train
SYN-01710,344,test
SYN-01711,345,train
SYN-01712,346,train
SYN-01713,1061,test
SYN-01714,3021,train
SYN-01715,1234,train
SYN-01716,2482,test
SYN-01717,347,train
SYN-01718,19,train
SYN-01719,130,train
SYN-01720,3580,train
SYN-01721,3819,validation
SYN-01722,1263,train
SYN-01723,1330,train
SYN-01724,1190,train
SYN-01725,991,train
SYN-01726,348,train
SYN-01727,349,train
SYN-01728,350,train
SYN-01729,351,train
SYN-01730,352,train
SYN-01731,298,validation
SYN-01732,353,test
SYN-01733,4008,train
SYN-01734,354,test
SYN-01735,185,test
SYN-01736,355,train
SYN-01737,3797,train
SYN-01738,1831,test
SYN-01739,356,validation
SYN-01740,2135,train
SYN-01741,357,train
SYN-01742,2079,train
SYN-01743,207,validation
SYN-01744,358,train
SYN-01745,359,train
SYN-01746,752,train
SYN-01747,360,train
SYN-01748,2032,train
SYN-01749,2032,train
SYN-01750,1264,train
SYN-01751,3797,train
SYN-01752,361,validation
SYN-01753,19,train
SYN-01754,200,train
SYN-01755,19,train
SYN-01756,200,train
SYN-01757,2436,train
SYN-01758,3580,train
SYN-01759,1190,train
SYN-01760,1330,train
SYN-01761,362,test
SYN-01762,363,train
SYN-01763,364,train
SYN-01764,294,train
SYN-01765,365,train
SYN-01766,3797,train
SYN-01767,1330,train
SYN-01768,3205,train
SYN-01769,36,train
SYN-01770,2999,train
SYN-01771,366,validation
SYN-01772,3264,test
SYN-01773,367,train
SYN-01774,1190,train
SYN-01775,368,train
SYN-01776,369,train
SYN-01777,370,train
SYN-01778,3503,train
SYN-01779,1330,train
SYN-01780,2482,test
SYN-01781,371,validation
SYN-01782,372,test
SYN-01783,36,train
SYN-01784,373,train
SYN-01785,374,train
SYN-01786,375,test
SYN-01787,376,train
SYN-01788,1263,train
SYN-01789,4064,train
SYN-01790,4270,train
SYN-01791,200,train
SYN-01792,1831,test
SYN-01793,249,train
SYN-01794,472,train
SYN-01795,377,train
SYN-01796,378,train
SYN-01797,1770,train
SYN-01798,3264,test
SYN-01799,4263,train
SYN-01800,379,train
SYN-01801,380,train
SYN-01802,381,train
SYN-01803,49,train
SYN-01804,1801,train
SYN-01805,382,test
SYN-01806,1263,train
SYN-01807,383,test
SYN-01808,4270,train
SYN-01809,384,validation
SYN-01810,385,train
SYN-01811,3189,validation
SYN-01812,3797,train
SYN-01813,386,validation
SYN-01814,3797,train
SYN-01815,1153,train
SYN-01816,2999,train
SYN-01817,387,train
SYN-01818,2032,train
SYN-01819,388,test
SYN-01820,389,test
SYN-01821,1053,test
SYN-01822,200,train
SYN-01823,3189,validation
SYN-01824,390,train
SYN-01825,391,train
SYN-01826,392,train
SYN-01827,393,train
SYN-01828,394,train
SYN-01829,395,train
SYN-01830,102,train
SYN-01831,200,train
SYN-01832,396,train
SYN-01833,397,train
SYN-01834,398,train
SYN-01835,399,train
SYN-01836,3580,train
SYN-01837,49,train
SYN-01838,400,validation
SYN-01839,401,validation
SYN-01840,36,train
SYN-01841,3244,train
SYN-01842,402,train
SYN-01843,1801,train
SYN-01844,403,train
SYN-01845,4064,train
SYN-01846,2515,test
SYN-01847,2369,train
SYN-01848,404,train
SYN-01849,405,train
SYN-01850,406,train
SYN-01851,407,validation
SYN-01852,408,train
SYN-01853,1190,train
SYN-01854,409,validation
SYN-01855,49,train
SYN-01856,2032,train
SYN-01857,410,validation
SYN-01858,3471,validation
SYN-01859,4326,train
SYN-01860,1018,train
SYN-01861,2811,train
SYN-01862,411,validation
SYN-01863,3791,test
SYN-01864,2811,train
SYN-01865,2167,validation
SYN-01866,112,test
SYN-01867,412,train
SYN-01868,1803,train
SYN-01869,413,train
SYN-01870,414,train
SYN-01871,200,train
SYN-01872,415,train
SYN-01873,3244,train
SYN-01874,416,train
SYN-01875,472,train
SYN-01876,1237,train
SYN-01877,213,validation
SYN-01878,2327,train
SYN-01879,417,train
SYN-01880,418,train
SYN-01881,419,validation
SYN-01882,420,train
SYN-01883,421,test
SYN-01884,422,train
SYN-01885,3802,train
SYN-01886,2313,test
SYN-01887,1153,train
SYN-01888,423,test
SYN-01889,4473,train
SYN-01890,424,train
SYN-01891,1330,train
SYN-01892,3877,validation
SYN-01893,425,train
SYN-01894,3797,train
SYN-01895,1263,train
SYN-01896,1018,train
SYN-01897,794,train
SYN-01898,426,train
SYN-01899,36,train
SYN-01900,427,test
SYN-01901,428,test
SYN-01902,429,train
SYN-01903,182,train
SYN-01904,1263,train
SYN-01905,430,test
SYN-01906,431,train
SYN-01907,3580,train
SYN-01908,432,train
SYN-01909,36,train
SYN-01910,3189,validation
SYN-01911,433,train
SYN-01912,4253,train
SYN-01913,434,train
SYN-01914,794,train
SYN-01915,3021,train
SYN-01916,991,train
SYN-01917,4123,train
SYN-01918,3249,train
SYN-01919,1061,test
SYN-01920,435,train
SYN-01921,436,validation
SYN-01922,3877,validation
SYN-01923,3087,train
SYN-01924,437,validation
SYN-01925,438,train
SYN-01926,2049,validation
SYN-01927,2075,train
SYN-01928,439,test
SYN-01929,3189,validation
SYN-01930,440,train
SYN-01931,1190,train
SYN-01932,2032,train
SYN-01933,441,train
SYN-01934,1190,train
SYN-01935,4305,train
SYN-01936,442,train
SYN-01937,443,train
SYN-01938,910,validation
SYN-01939,2032,train
SYN-01940,4270,train
SYN-01941,2634,train
SYN-01942,3244,train
SYN-01943,444,train
SYN-01944,445,train
SYN-01945,4104,validation
SYN-01946,185,test
SYN-01947,2327,train
SYN-01948,3437,validation
SYN-01949,446,train
SYN-01950,447,train
SYN-01951,448,train
SYN-01952,2327,train
SYN-01953,449,train
SYN-01954,450,test
SYN-01955,3495,train
SYN-01956,451,train
SYN-01957,1061,test
SYN-01958,102,train
SYN-01959,452,train
SYN-01960,453,train
SYN-01961,2032,train
SYN-01962,200,train
SYN-01963,454,train
SYN-01964,455,test
SYN-01965,456,train
SYN-01966,457,test
SYN-01967,3407,train
SYN-01968,551,train
SYN-01969,4043,train
SYN-01970,2806,train
SYN-01971,298,validation
SYN-01972,991,train
SYN-01973,2527,train
SYN-01974,452,train
SYN-01975,3264,test
SYN-01976,3344,validation
SYN-01977,458,test
SYN-01978,2369,train
SYN-01979,257,test
SYN-01980,200,train
SYN-01981,1713,train
SYN-01982,200,train
SYN-01983,794,train
SYN-01984,36,train
SYN-01985,459,validation
SYN-01986,200,train
SYN-01987,460,validation
SYN-01988,1190,train
SYN-01989,752,train
SYN-01990,271,test
SYN-01991,2327,train
SYN-01992,461,validation
SYN-01993,19,train
SYN-01994,1263,train
SYN-01995,462,train
SYN-01996,2482,test
SYN-01997,2327,train
SYN-01998,1666,validation
SYN-01999,2032,train
SYN-02000,1844,train
SYN-02001,3797,train
SYN-02002,2079,train
SYN-02003,3189,validation
SYN-02004,463,train
SYN-02005,2689,train
SYN-02006,4008,train
SYN-02007,1031,train
SYN-02008,1125,train
SYN-02009,2327,train
SYN-02010,185,test
SYN-02011,464,validation
SYN-02012,465,train
SYN-02013,991,train
SYN-02014,2032,train
SYN-02015,1237,train
SYN-02016,466,train
SYN-02017,2079,train
SYN-02018,3797,train
SYN-02019,467,train
SYN-02020,426,train
SYN-02021,36,train
SYN-02022,36,train
SYN-02023,468,train
SYN-02024,634,train
SYN-02025,469,train
SYN-02026,470,train
SYN-02027,49,train
SYN-02028,471,train
SYN-02029,472,train
SYN-02030,473,test
SYN-02031,474,train
SYN-02032,475,train
SYN-02033,265,train
SYN-02034,476,train
SYN-02035,4008,train
SYN-02036,477,train
SYN-02037,478,train
SYN-02038,479,train
SYN-02039,991,train
SYN-02040,3580,train
SYN-02041,1928,train
SYN-02042,480,test
SYN-02043,3244,train
SYN-02044,481,train
SYN-02045,634,train
SYN-02046,482,test
SYN-02047,3021,train
SYN-02048,483,validation
SYN-02049,484,train
SYN-02050,2902,train
SYN-02051,485,validation
SYN-02052,3316,train
SYN-02053,486,train
SYN-02054,4270,train
SYN-02055,487,test
SYN-02056,36,train
SYN-02057,4126,train
SYN-02058,488,train
SYN-02059,3249,train
SYN-02060,489,train
SYN-02061,200,train
SYN-02062,490,train
SYN-02063,1330,train
SYN-02064,491,train
SYN-02065,492,test
SYN-02066,15,test
SYN-02067,493,train
SYN-02068,4263,train
SYN-02069,3189,validation
SYN-02070,49,train
SYN-02071,494,train
SYN-02072,991,train
SYN-02073,4094,validation
SYN-02074,495,train
SYN-02075,496,train
SYN-02076,497,validation
SYN-02077,4008,train
SYN-02078,498,validation
SYN-02079,3021,train
SYN-02080,794,train
SYN-02081,426,train
SYN-02082,499,train
SYN-02083,500,train
SYN-02084,4043,train
SYN-02085,19,train
SYN-02086,501,test
SYN-02087,1237,train
SYN-02088,19,train
SYN-02089,502,train
SYN-02090,503,train
SYN-02091,1061,test
SYN-02092,504,validation
SYN-02093,3797,train
SYN-02094,3309,validation
SYN-02095,505,train
SYN-02096,3471,validation
SYN-02097,506,train
SYN-02098,4064,train
SYN-02099,3264,test
SYN-02100,102,train
SYN-02101,507,train
SYN-02102,3189,validation
SYN-02103,1018,train
SYN-02104,508,train
SYN-02105,4441,train
SYN-02106,509,train
SYN-02107,634,train
SYN-02108,2135,train
SYN-02109,510,train
SYN-02110,511,train
SYN-02111,512,validation
SYN-02112,513,train
SYN-02113,514,train
SYN-02114,1330,train
SYN-02115,1330,train
SYN-02116,515,validation
SYN-02117,4218,train
SYN-02118,516,validation
SYN-02119,517,train
SYN-02120,518,train
SYN-02121,4227,train
SYN-02122,519,train
SYN-02123,520,test
SYN-02124,2999,train
SYN-02125,521,train
SYN-02126,3797,train
SYN-02127,522,test
SYN-02128,523,validation
SYN-02129,524,train
SYN-02130,472,train
SYN-02131,3471,validation
SYN-02132,525,test
SYN-02133,19,train
SYN-02134,526,train
SYN-02135,527,validation
SYN-02136,528,train
SYN-02137,1043,train
SYN-02138,3264,test
SYN-02139,918,train
SYN-02140,529,train
SYN-02141,3823,validation
SYN-02142,530,train
SYN-02143,2482,test
SYN-02144,531,train
SYN-02145,532,train
SYN-02146,533,train
SYN-02147,469,train
SYN-02148,534,train
SYN-02149,535,train
SYN-02150,536,train
SYN-02151,2999,train
SYN-02152,3189,validation
SYN-02153,537,validation
SYN-02154,991,train
SYN-02155,538,train
SYN-02156,200,train
SYN-02157,200,train
SYN-02158,4044,train
SYN-02159,539,test
SYN-02160,1190,train
SYN-02161,540,train
SYN-02162,541,train
SYN-02163,1264,train
SYN-02164,2313,test
SYN-02165,1585,train
SYN-02166,542,train
SYN-02167,543,validation
SYN-02168,544,train
SYN-02169,545,test
SYN-02170,546,train
SYN-02171,547,train
SYN-02172,1190,train
SYN-02173,548,train
SYN-02174,3189,validation
SYN-02175,549,train
SYN-02176,1190,train
SYN-02177,550,train
SYN-02178,551,train
SYN-02179,185,test
SYN-02180,4500,test
SYN-02181,552,validation
SYN-02182,553,train
SYN-02183,2605,train
SYN-02184,4385,train
SYN-02185,554,test
SYN-02186,36,train
SYN-02187,555,train
SYN-02188,556,train
SYN-02189,557,test
SYN-02190,558,train
SYN-02191,36,train
SYN-02192,2079,train
SYN-02193,3189,validation
SYN-02194,559,train
SYN-02195,991,train
SYN-02196,1330,train
SYN-02197,813,test
SYN-02198,560,train
SYN-02199,2327,train
SYN-02200,2850,train
SYN-02201,561,train
SYN-02202,562,validation
SYN-02203,2728,train
SYN-02204,2850,train
SYN-02205,4559,train
SYN-02206,563,train
SYN-02207,2369,train
SYN-02208,564,train
SYN-02209,565,train
SYN-02210,1237,train
SYN-02211,49,train
SYN-02212,566,train
SYN-02213,298,validation
SYN-02214,567,train
